,Model,Dataset,Accuracy,Precision,Recall,F1 Score,ROC-AUC
0,Decision Tree,Train,0.8094180841539839,0.8684300487137852,0.7287363740676994,0.7924741665041919,0.8093113241485054
1,Decision Tree,Test,0.7920217718255389,0.8467439481759291,0.7124211130235226,0.7737965415173703,0.7919136032861857
2,Random Forest,Train,0.8054968666069829,0.8855822802011143,0.7010542168674698,0.7825878114680276,0.80535866554696
3,Random Forest,Test,0.8006875313328081,0.88047229791099,0.6952094090648308,0.7769495872405225,0.8005441981670885
4,Gradient Boosting,Train,0.7987466427931961,0.8663087484597782,0.705895008605852,0.7779182802497432,0.7986237792474936
5,Gradient Boosting,Test,0.8021198882761584,0.8709677419354839,0.7086919104991394,0.7814946619217081,0.8019929299313033
6,XGBoost,Train,0.8115846016114593,0.8739716586983676,0.7275889271371199,0.794090597788866,0.8114734564875214
7,XGBoost,Test,0.802477977511996,0.8637776243093923,0.7175846242111302,0.7839235349420245,0.8023626167830076
8,LightGBM,Train,0.8265890778871978,0.8896023286674372,0.7451950659781985,0.8110207028429823,0.8264813753465843
9,LightGBM,Test,0.7994700279309604,0.8570694967476892,0.71815834767642,0.7814889964101763,0.799359534301663
10,CatBoost,Train,0.8092211280214862,0.8706818670681867,0.7257243258749283,0.791621848903839,0.8091106430175729
11,CatBoost,Test,0.8032657738308386,0.8636598381821312,0.7195926563396443,0.7850715906423598,0.8031520712680914
12,Stacked Ensemble,Train,0.8095613249776186,0.8519092689295039,0.7487808376362594,0.7970229007633588,0.8094808987551871
13,Stacked Ensemble,Test,0.8010456205686457,0.8436578171091446,0.7383820998278829,0.7875172097292336,0.8009604677368566
14, Optimized Stack Ensemble,Train,0.810492,0.867795,0.731999,0.794134,0.810389
15, Optimized Stack Ensemble,Test,0.803123,0.860632,0.722748,0.785686,0.803013
